modelo;tipo_grade;N;execucao;voxel_size;nx;ny;nz;total;occupied;empty;density;t_vox;delta_rss_vox;octree_nodes;leaves_full;leaves_empty;max_depth;t_oct;delta_rss_oct;compression
Armadillo;Justa;400;5;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;13,279;298,33;0,0349
Armadillo;Justa;400;6;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,447;299,52;0,0349
Armadillo;Justa;400;7;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,670;298,95;0,0349
Armadillo;Justa;400;8;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;9,554;298,96;0,0349
Armadillo;Justa;400;9;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,302;298,50;0,0349
Armadillo;Justa;400;10;0,3783;337;401;307;41487059;351913;41135146;0,0085;11,552;9,52;1447689;280117;986611;9;10,493;298,96;0,0349
Armadillo;Cubica;400;1;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;8,499;235,08;0,0208
Armadillo;Cubica;400;2;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;6,051;235,18;0,0208
Armadillo;Cubica;400;3;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;8,267;234,10;0,0208
Armadillo;Cubica;400;4;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;14,957;233,21;0,0208
Armadillo;Cubica;400;5;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;10,281;232,43;0,0208
Armadillo;Cubica;400;6;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;9,311;233,21;0,0208
Armadillo;Cubica;400;7;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;9,351;233,19;0,0208
Armadillo;Cubica;400;8;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;8,090;234,27;0,0208
Armadillo;Cubica;400;9;0,3783;400;400;400;64000000;351889;63648111;0,0055;11,552;9,52;1329217;303263;859802;9;9,482;234,17;0,0208
